DATA,HOMICÍDIO DOLOSO (2),Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,HOMICÍDIO CULPOSO OUTROS,TENTATIVA DE HOMICÍDIO,LESÃO CORPORAL SEGUIDA DE MORTE,LESÃO CORPORAL DOLOSA,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,LESÃO CORPORAL CULPOSA - OUTRAS,LATROCÍNIO,Nº DE VÍTIMAS EM LATROCÍNIO,TOTAL DE ESTUPRO (4),TOTAL DE ROUBO - OUTROS (1),ROUBO DE VEÍCULO,ROUBO A BANCO,ROUBO DE CARGA,FURTO - OUTROS,FURTO DE VEÍCULO,ESTUPRO,ROUBO - OUTROS,ESTUPRO DE VULNERÁVEL
2001-01-01,1109,1150,0,0,298,23,908,0.0,15814,8033,447,47,46,358,18069,8562,15,250,37274,9497,,,
2001-02-01,1115,1153,0,0,294,26,857,0.0,14019,7160,471,28,32,339,16627,8094,27,248,32987,8702,,,
2001-03-01,1181,1240,0,0,305,26,866,0.0,15778,8393,431,52,54,332,19383,9416,21,321,37048,10580,,,
2001-04-01,1168,1236,0,0,386,21,940,0.0,15095,9065,424,45,47,333,18816,8559,13,286,36432,9196,,,
2001-05-01,1101,1153,0,0,376,30,804,0.0,13296,9279,402,36,39,333,18940,8649,29,357,38227,10022,,,
2001-06-01,985,1035,0,0,381,33,788,0.0,13055,9161,444,36,37,312,17778,7755,16,343,35463,9312,,,
2001-07-01,930,1014,0,0,462,30,773,0.0,12960,9185,381,45,47,325,18592,8123,17,347,35995,9537,,,
2001-08-01,907,965,0,0,404,20,692,0.0,13567,9216,498,63,64,318,18610,8604,21,323,37261,10254,,,
2001-09-01,886,937,0,0,403,19,786,0.0,13878,8882,401,57,57,301,17922,8284,14,302,35061,9723,,,
2001-10-01,984,1019,0,0,415,39,823,0.0,15435,9747,353,47,48,330,19243,8974,25,359,39465,10221,,,
2001-11-01,956,1012,0,0,381,34,788,0.0,15168,9094,359,56,57,349,18293,8071,21,344,37217,9578,,,
2001-12-01,1153,1219,0,0,468,27,880,0.0,14805,10022,356,67,72,319,17425,7151,14,315,37897,8147,,,
2002-01-01,1037,1090,0,0,348,31,844,0.0,14287,8094,367,50,50,332,19387,7800,9,304,41409,9944,,,
2002-02-01,924,980,0,0,329,35,833,0.0,13445,7816,348,45,48,312,17373,7450,16,303,36061,9354,,,
2002-03-01,1189,1264,0,0,355,25,925,0.0,15234,9845,400,50,50,353,19401,8244,9,326,37477,9862,,,
2002-04-01,1085,1140,0,0,423,30,932,0.0,15960,9819,391,52,53,376,21009,7992,8,327,38842,8857,,,
2002-05-01,1008,1066,0,0,437,25,808,0.0,14411,9272,397,42,44,343,20272,7622,21,324,37497,8851,,,
2002-06-01,922,972,0,0,391,22,769,0.0,13704,9056,345,46,48,311,17477,6396,9,299,34596,8202,,,
2002-07-01,915,966,0,0,422,23,723,0.0,13188,8816,423,37,37,284,18084,6405,11,286,37089,8480,,,
2002-08-01,876,912,0,0,349,28,783,0.0,14288,9485,498,33,34,349,17763,6423,11,302,37930,8711,,,
2002-09-01,921,964,0,0,406,21,772,0.0,14148,9498,473,36,37,291,16819,6123,13,275,36702,8003,,,
2002-10-01,957,1030,0,0,435,31,893,0.0,18033,10302,458,43,45,415,19150,7171,14,341,41106,9495,,,
2002-11-01,954,1037,0,0,426,22,922,0.0,15557,9531,398,31,32,317,18198,6632,17,326,41054,8954,,,
2002-12-01,1059,1111,0,0,421,41,965,0.0,18023,10591,570,39,39,308,18648,6309,9,263,43534,8101,,,
2003-01-01,938,995,0,0,353,25,857,0.0,15733,8451,498,43,43,327,19104,6593,18,260,43961,8939,,,
2003-02-01,993,1040,0,0,331,34,834,0.0,16201,8818,495,45,45,344,18874,6722,6,325,41272,8442,,,
2003-03-01,1038,1101,0,0,395,29,985,0.0,17149,9509,377,47,47,334,21242,7221,16,310,45123,9052,,,
2003-04-01,1014,1063,0,0,388,32,885,0.0,15117,9624,383,56,56,299,21125,7249,19,302,45432,8825,,,
2003-05-01,943,989,0,0,406,19,810,0.0,14213,9813,351,58,59,323,22392,7459,14,285,45869,9642,,,
2003-06-01,898,933,0,0,399,21,817,0.0,14837,9728,429,48,48,311,20765,6576,16,279,44212,8568,,,
2003-07-01,840,887,0,0,424,31,712,0.0,14252,9620,487,45,45,313,21238,6609,16,351,45011,9244,,,
2003-08-01,897,940,0,0,430,35,742,0.0,13954,9807,443,44,45,361,21150,6507,21,302,44967,9169,,,
2003-09-01,862,913,0,0,374,47,810,0.0,15516,10162,422,38,39,333,21817,6750,17,341,46642,9473,,,
2003-10-01,818,861,0,0,384,56,719,0.0,15953,10610,487,41,41,356,21546,6843,11,343,47556,9407,,,
2003-11-01,825,862,0,0,352,28,796,0.0,16150,10389,471,31,31,338,19788,5939,9,415,43890,8308,,,
2003-12-01,888,928,0,0,379,20,897,0.0,17492,11357,510,44,44,339,19365,5378,10,361,45285,7240,,,
2004-01-01,767,821,0,0,338,16,795,0.0,15342,9061,390,39,53,327,17865,6215,19,465,44830,8999,,,
2004-02-01,713,766,0,0,338,22,804,0.0,15574,9472,401,21,32,322,17398,6043,21,453,42618,9253,,,
2004-03-01,738,804,0,0,374,19,750,0.0,16430,10865,455,33,37,388,19304,6819,19,527,48178,10130,,,
2004-04-01,754,814,0,0,377,17,809,0.0,16279,10272,388,26,32,364,19241,6864,22,524,46030,9042,,,
2004-05-01,800,839,0,0,394,14,768,0.0,14038,11410,405,31,34,279,19716,6849,21,476,46918,9920,,,
2004-06-01,749,805,0,0,402,21,743,0.0,14387,10704,462,23,35,309,19060,6714,18,551,47298,9730,,,
2004-07-01,708,756,0,0,417,21,749,0.0,13661,10682,369,39,43,299,18101,6947,27,547,45882,9838,,,
2004-08-01,735,777,0,0,390,22,853,0.0,16244,11848,435,42,49,348,18972,6990,34,529,48899,10103,,,
2004-09-01,768,816,0,0,403,18,855,0.0,17696,11518,573,37,47,335,17959,6750,21,563,46585,9698,,,
2004-10-01,709,747,0,0,371,18,718,0.0,16324,11219,465,30,36,325,17883,7188,32,550,47175,10312,,,
2004-11-01,613,664,0,0,364,19,739,0.0,16466,11053,529,38,35,369,17390,6240,26,482,47541,8890,,,
2004-12-01,699,754,0,0,457,23,803,0.0,17891,12225,467,31,40,321,17372,5988,20,545,49317,7858,,,
2005-01-01,738,764,0,0,337,16,813,0.0,17486,9905,492,35,43,339,17304,6517,27,521,46201,9855,,,
2005-02-01,702,758,0,0,285,17,765,0.0,17036,10035,377,27,27,331,16590,6494,16,508,43291,9500,,,
2005-03-01,655,697,0,0,406,18,760,0.0,18275,11581,402,29,36,342,18822,7034,31,512,48609,10228,,,
2005-04-01,614,655,0,0,409,19,741,0.0,17461,11586,372,33,38,320,19021,6788,35,508,46976,9605,,,
2005-05-01,604,629,0,0,440,50,794,0.0,16406,12202,418,24,31,320,20205,6855,28,525,50601,10153,,,
2005-06-01,551,598,0,0,439,8,593,0.0,15701,11438,461,26,30,304,18654,6897,24,512,47421,10359,,,
2005-07-01,537,597,0,0,436,27,597,0.0,14743,11455,485,20,27,286,18777,6852,28,507,45520,10391,,,
2005-08-01,564,639,0,0,417,13,652,0.0,17488,12338,493,24,33,362,19550,7011,24,521,49353,10520,,,
2005-09-01,462,498,0,0,344,29,631,0.0,16590,11132,509,21,25,351,18647,6521,36,485,47356,10274,,,
2005-10-01,584,630,0,0,422,17,652,0.0,18370,11993,375,26,31,341,18756,6982,25,536,46994,10229,,,
2005-11-01,523,540,0,0,361,24,584,0.0,17016,11790,361,27,28,297,18232,6626,25,606,46282,9261,,,
2005-12-01,542,588,0,0,415,21,607,0.0,17312,12780,435,23,26,310,17259,5401,33,481,46356,7193,,,
2006-01-01,493,521,0,0,349,40,545,0.0,18473,10721,410,24,33,320,17084,5905,37,438,45467,9484,,,
2006-02-01,491,521,0,0,360,21,628,0.0,17063,10185,330,25,37,289,16502,5977,33,500,41996,8965,,,
2006-03-01,532,580,0,0,359,15,590,0.0,19298,11940,411,26,26,356,19422,7018,43,622,50643,10154,,,
2006-04-01,491,526,0,0,384,14,567,0.0,16600,11800,382,35,34,288,18533,6614,38,537,46015,9518,,,
2006-05-01,704,816,0,0,391,28,716,0.0,13686,11212,339,16,21,273,18318,5960,35,525,47712,9402,,,
2006-06-01,508,545,0,0,365,19,563,0.0,15217,11715,339,21,24,249,18503,6545,34,481,46648,9745,,,
2006-07-01,509,533,0,0,380,15,587,0.0,13949,10991,357,17,30,238,17661,6016,36,488,45240,9710,,,
2006-08-01,483,534,0,0,385,17,624,0.0,15571,11600,347,15,27,275,18269,6048,42,493,47370,9879,,,
